variete,famille
ail,liliacée
aubergine, solanacée
betterave, chénopodiacée
blé tendre, poacée
blé dur, poacée
blette, chénopodiacée
carotte, apiacée
chou pointu, crucifère
chou fleur, crucifère
chou de bruxelles, crucifère
concombre, cucurbitacée
cornichon, cucurbitacée
courgette, cucurbitacée
épeautre, poacée
épinard, chénopodiacée
haricots verts, fabacée
oignon blanc, liliacée
orge, poacée
poireau, liliacée
potiron, cucurbitacée
radis, crucifère
salade chicorée, composée
sorgho, poacée
seigle, poacée
tomate, solanacée
pomme de terre, solanacée
luzerne, fabacée
thym, lamiacée